chan	index	op	par	min	max
1	13	/project1/UI_levels	Master	0.0	1.0
1	11	/project1/UI_levels	Lightbox	0.0	1.0
3	8	/project1/UI_levels	Strobe	0.0	1.0
1	8	/project1/UI_levels	Bigmover	0.0	1.0
1	9	/project1/UI_levels	Performancepar	0.0	1.0
1	46	/project1/UI_levels	Lampon	0.0	1.0
1	47	/project1/UI_levels	Lampoff	0.0	1.0
1	10	/project1/UI_levels	Lightbox2	0.0	1.0
1	12	/project1/ALTAR2_V1/constant1	const0value	0.0	1.0
1	12	/project1/UI_levels	Roof	0.0	1.0
3	10	/project1/UI_levels	Performancepar	0.0	1.0
3	20	/project1/SURROUND_Lights	Movecolour	0.0	1.0
3	28	/project1/SURROUND_Lights	Flickeramountlightbox	0.0	1.0
3	36	/project1/SURROUND_Lights	Flickerchaos	0.0	1.0
3	19	/project1/SURROUND_Lights/constant6	const0value	0.0	1.0
3	11	/project1/SURROUND_Lights/level9	brightness1	0.0	1
3	26	/project1/SURROUND_Lights/constant7	const0value	0.0	1.0
1	8	/project1/SURROUND_Lights	Position	0.0	1.0
1	32	/project1/SURROUND_Lights	Size	0.0	1.0
1	24	/project1/SURROUND_Lights	Opacity	0.0	1.0
1	16	/project1/UI_levels	Lightboxstrobe	0.0	1.0
